rows,world,it,time
100000000,1,0,53423.37083816528
100000000,1,1,49751.35946273804
100000000,2,0,44623.69680404663
100000000,2,1,40994.78006362915
100000000,4,0,46041.42928123474
100000000,4,1,39327.58975028992
100000000,8,0,48555.723428726196
100000000,8,1,39042.614459991455
100000000,16,0,46207.571506500244
100000000,16,1,45885.59293746948
100000000,32,0,50188.66991996765
100000000,32,1,44175.82964897156
100000000,64,0,51443.625926971436
100000000,64,1,49488.513469696045
100000000,128,0,55186.163663864136
100000000,128,1,53364.5715713501
100000000,256,0,64108.21342468262
100000000,256,1,57217.2372341156
100000000,512,0,79124.89986419678
100000000,512,1,77025.17819404602
